umls	icd9cm	icd10	3_digit_icd9cm	level_2_icd10
C0025218	374.52	L81.1	374	L81
C0153581	183.4	C57.3	183	C57
C0024776	270.3	E71.0	270	E71
C0004153	440	I25.0|I70	440	I25|I70
C0042880	269.0	E56.1	269	E56
C0686689	196.6	C77.5	196	C77
C0153365	143.0	C03.0	143	C03
C0040457	520.1	K00.1	520	K00
C0031190	747.83	P29.3	747	P29
C0546839	359.8|359.89	G72	359	G72
C0699895	V26.1	Z31.1	V26	Z31
C0161628	974.7	T50.4	974	T50
C0261577	878	Y83	878	Y83
C0348133	038.8	A41.8	038	A41
C0153684	198|198.8|198.89	C79.8	198	C79
C0018674	959.01	S00-S09.9|S09.9	959	S00-S09|S09
C0006107	850|850.9	S06.0	850	S06
C0014877	378.0|378.00	H50.0	378	H50
C0029542	333.5	G25.5	333	G25
C0153569	180.0	C53.0	180	C53
C0274536	962.2	T38.4	962	T38
C0037005	831	S43.0	831	S43
C0155478	385.1|385.10	H74.1	385	H74
C0001816	784.69	R48.1	784	R48
C0265624	755.31	Q72.3	755	Q72
C0042721	070|070.9	B15-B19.9|B19	070	B15-B19|B19
C0157718	693|693.9	L27|L27.9	693	L27
C0154701	344.2	G83.0	344	G83
C0153661	195.1	C76.1	195	C76
C0152443	599.2	N36.1	599	N36
C0431321	741.01	Q05.0	741	Q05
C0080178	741	Q05|Q05.9	741	Q05
C0161709	985.9	T56.9	985	T56
C0269032	614.5	N73.3	614	N73
C0029655	208.8	C95.7	208	C95
C0153601	187.4	C60|C60.9	187	C60
C0155779	454.2	I83.2	454	I83
C0869272	999.99	T80-T88.9	999	T80-T88
C0039730	282.4|282.40|282.49	D56|D56.9	282	D56
C0001171	738.3	M95.4	738	M95
C0029774	270.8	E72.8	270	E72
C0495447	775.5	P74.4	775	P74
C0348371	189.9	C68.9	189	C68
C0008924	749.1|749.10	Q36	749	Q36
C0161607	972.7	T46.8	972	T46
C0496769	148.0	C13.0	148	C13
C0206762	755.9	Q74.9	755	Q74
C0264393	492.8	J43.1	492	J43
C4316895	999.4	T78.2	999	T78
C0152066	116.2	B48.0	116	B48
C0496828	188.2	C67.2	188	C67
C0349458	622.11	N87.0	622	N87
C0153489	162.0	C33	162	C33
C0153107	076.0	A71.0	076	A71
C0020621	276.8	E87.6	276	E87
C0018523	333.0	G23.0	333	G23
C0158309	726.31|726.32	M77.0	726	M77
C0042875	269.1	E56.0	269	E56
C0153491	162.4	C34.2	162	C34
C0027092	367.1	H52.1	367	H52
C0006826	199|199.1	C00-C97.9|C80	199	C00-C97|C80
C0157648	676.3	O92.2	676	O92
C0270107	767.6	P14.0	767	P14
C0006309	023|023.9	A23|A23.9	023	A23
C0040255	110.5	B35.5	110	B35
C0155774	453	I82	453	I82
C0014761	773|773.2	P55|P55.9	773	P55
C0027765	349.9	G00-G99.9	349	G00-G99
C0495184	671.93	O22|O22.9	671	O22
C0412992	985.3	T56.7	985	T56
C0260812	V63.2	Z75.1	V63	Z75
C0236802	302.6	F64.2	302	F64
C0018790	427.5	I46|I46.9	427	I46
C0269898	666.0|666.04	O72.0	666	O72
C0263606	692.72	L58.0	692	L58
C0392495	750.3	Q39.4	750	Q39
C0155242	375.5	H04.5	375	H04
C0231471	781.92	R29.3	781	R29
C0478144	784.5	R47.8	784	R47
C0266579	743.62	Q10.2	743	Q10
C0412862	969.4	T42.4	969	T42
C0158248	721.5	M48.2	721	M48
C0455990	773.3	P56.0	773	P56
C1260915	096	A52.8	096	A52
C0153604	187.7	C63.2	187	C63
C0348087	V69	Z72	V69	Z72
C0476442	795.79	R76.0	795	R76
C0260490	V14.6	Z88.6	V14	Z88
C0153439	153.6	C18.2	153	C18
C0004943	136.1	M35.2	136	M35
C0700522	928.1	W42	928	W42
C0040558	130|130.9	B58|B58.9	130	B58
C0496542	878.3	Y83.3	878	Y83
C0264764	397.9	I09.1	397	I09
C0261514	870.2	Y60.2	870	Y60
C0260684	V44.2	Z93.2	V44	Z93
C0161732	989.7	T64	989	T64
C0157884	712.8|712.80	M11.8	712	M11
C0007222	429.2	I51.6	429	I51
C0398661	289.51	D73.2	289	D73
C0155732	438|438.9	I69	438	I69
C0038986	705|705.9	L74|L74.9	705	L74
C0265574	755.23	Q71.1	755	Q71
C0158366	729.31	M79.4	729	M79
C0340712	451.2	I80.3	451	I80
C0157404	667	O73	667	O73
C0392530	618.1|618.3	N81.3	618	N81
C0155733	440.0	I70.0	440	I70
C0263912	726.10	M75.1	726	M75
C0153433	153.0	C18.3	153	C18
C0085592	992.2	T67.2	992	T67
C0481254	875.1	Y64.1	875	Y64
C0029781	593.8|593.89	N28.8	593	N28
C0260793	V60.1	Z59.1	V60	Z59
C0036690	038|038.9	A41.9	038	A41
C0009995	746.82	Q24.2	746	Q24
C0159023	779.31	P92|P92.9	779	P92
C2242894	504	J66.1	504	J66
C0026918	031.9	A31.9	031	A31
C0024103	611.72	N63	611	N63
C0153486	161.3	C32.3	161	C32
C0261891	943.6	Y53.7	943	Y53
C0264090	732.3	M92.2	732	M92
C0020502	252.0|252.00	E21.3	252	E21
C0157270	662.3|662.33	O63.2	662	O63
C0032984	633.0	O00.0	633	O00
C0154305	289.5|289.59	D73.8	289	D73
C0031212	301|301.9	F60.9	301	F60
C0155785	455.5	I84.4	455	I84
C0338664	310.89	F07.1	310	F07
C0153140	091.1	A51.1	091	A51
C0035793	082.0	A77.0	082	A77
C0157741	708.1	L50.1	708	L50
C0155909	513.1	J85.3	513	J85
C0263607	692.74	L58.1	692	L58
C0265012	441.3	I71.3	441	I71
C0008582	117.2	B43.9	117	B43
C3647143	198.6	C79.6	198	C79
C0155776	453.3	I82.3	453	I82
C0155708	426.8|426.89	I45.8	426	I45
C0260815	V64	Z53	V64	Z53
C0451639	289	D70-D77.9|D75	289	D70-D77|D75
C1305934	610|610.9	N60|N60.9	610	N60
C0265706	756.73	Q79.3	756	Q79
C0155858	482	J15.8	482	J15
C0153952	212.1	D14.1	212	D14
C0085657	696.5	L30.5	696	L30
C0153618	189.1	C65	189	C65
C0154640	320.3	G00.3	320	G00
C0028768	300.3	F42|F42.9	300	F42
C0035439	398.90	I09.9	398	I09
C0161407	951.3	S04.4	951	S04
C0264395	492.8	J43.0	492	J43
C0155907	512.0	J93.0	512	J93
C0264776	397.0	I07|I07.9	397	I07
C0497082	872.4	Y62.4	872	Y62
C0154236	264.5	E50.5	264	E50
C0042109	708|708.9	L50|L50.9	708	L50
C0029644	720.8|720.89	M46	720	M46
C0155717	429.8|429.89	I51.8	429	I51
C0155210	374.51	H02.6	374	H02
C0261589	879.1	Y84.1	879	Y84
C0153619	189.2	C66	189	C66
C0260698	V45|V45.8|V45.89	Z98	V45	Z98
C0022362	526|526.9	K10.9	526	K10
C0260752	V53.6	Z46.6	V53	Z46
C0399408	522.3	K04.3	522	K04
C0546884	276.5|276.50|276.52	E86	276	E86
C0007933	373.2	H00.1	373	H00
C0158516	738.7	M95.1	738	M95
C0155797	456|456.8	I86	456	I86
C0029531	366.8	H26	366	H26
C0271466	385.3	H74.4	385	H74
C0155558	391.8	I01.8	391	I01
C0452001	692.77	L55.2	692	L55
C0153621	189.4	C68.1	189	C68
C0496613	V03.3	Z23.3	V03	Z23
C0337212	881.0	W11	881	W11
C0375815	V25|V25.9	Z30|Z30.9	V25	Z30
C0160538	874	S11|S11.9	874	S11
C0022353	774.6	P59.9	774	P59
C0156131	552.02	K41.0	552	K41
C0419377	V27.4	Z37.4	V27	Z37
C0013069	745.11	Q20.1	745	Q20
C0268613	270.4	E72.1	270	E72
C0481147	936.4	Y46.7	936	Y46
C0276063	038.4|038.49	A41.5	038	A41
C0270215	774.39	P59.3	774	P59
C0160924	922.0	S20.0	922	S20
C0153405	149.0	C14.0	149	C14
C0007103	182.0	C54.1	182	C54
C0851258	726.65|727.2	M70.4	726|727	M70
C0080274	788.2|788.20	R33	788	R33
C0006142	174.9	C50|C50-C50.9|C50.9	174	C50
C0481235	871.4	Y61.4	871	Y61
C0265647	754.53	Q66.2	754	Q66
C0851341	134.9	B88.9	134	B88
C0158618	746.5	Q23.2	746	Q23
C0155203	374.4	H02.5	374	H02
C0343890	117.5	B45.7	117	B45
C0159004	777.4	P76.1	777	P76
C0155880	493.1	J45.1	493	J45
C0153934	210.3	D10.2	210	D10
C0348751	573.8	K76.8	573	K76
C0004994	213.1	D16.5	213	D16
C0153243	103.2	A67.2	103	A67
C0154016	223.2	D30.2	223	D30
C0008677	491|491.9	J42	491	J42
C0040409	529.9	K14|K14.9	529	K14
C0155442	383	H70	383	H70
C0476405	794.2	R94.2	794	R94
C0156384	623.0	N89.3	623	N89
C0155947	524.9	K07.9	524	K07
C0156383	623|623.9	N89.9	623	N89
C0266932	524.5|524.50	K07.5	524	K07
C0478080	756.9	Q79.8	756	Q79
C0001311	466.1	J21|J21.9	466	J21
C0153349	141|141.9	C02.9	141	C02
C0434717	838	S93.1	838	S93
C0348668	459	I95-I99.9|I99	459	I95-I99|I99
C0005424	576.9	K83.9	576	K83
C0156415	628.2	N97.1	628	N97
C0481358	959	Y87.0	959	Y87
C1403891	036.3	A39.1	036	A39
C0031315	353.6	G54.6	353	G54
C0022346	782.4	R17	782	R17
C0018681	784.0	R51	784	R51
C0496866	211.4	D12.7	211	D12
C0155873	491.1	J41.1	491	J41
C0018520	784.99	R19.6	784	R19
C0270025	762	P02	762	P02
C0154041	227.1	D35.1	227	D35
C0151632	790.1	R70.0	790	R70
C0175708	398.99	I05-I09.9	398	I05-I09
C0156258	593	N25-N29.9	593	N25-N29
C0267136	531.7	K25.7	531	K25
C0494040	023.3	A23.3	023	A23
C0156297	602.8	N42.8	602	N42
C0153519	171|171.9	C49	171	C49
C0418626	873.5	Y63.5	873	Y63
C0037859	608.1	N43.4	608	N43
C0030804	694.6	L12.1	694	L12
C0156218	576.3	K83.2	576	K83
C3536892	391|391.9	I01	391	I01
C0414053	946.2	Y56.2	946	Y56
C0024790	283.2	D59.5	283	D59
C0011127	707.0|707.00	L89	707	L89
C0036416	379.00	H15.0	379	H15
C0023381	202.5	C96.0	202	C96
C0012557	032.3	A36.2	032	A36
C0017572	523.2|523.20	K06.0	523	K06
C0161410	951.6	S04.7	951	S04
C0032776	627.1	N95.0	627	N95
C1253936	719.0|719.00	M25.4	719	M25
C0152230	708.5	L50.5	708	L50
C0271431	382.0	H66.0	382	H66
C0040261	110.1	B35.1	110	B35
C0403698	598.1	N35.0	598	N35
C0476560	V61.41	Z81.1	V61	Z81
C0041408	758.6	Q96|Q96.0|Q96.9	758	Q96
C0149881	604|604.90	N45	604	N45
C0270075	779.9	P96.9	779	P96
C0153429	152.3	C17.3	152	C17
C0261929	947.4	Y57.4	947	Y57
C1261378	V16|V16.9	Z80|Z80.9	V16	Z80
C0043167	033.0	A37.0	033	A37
C0020498	721.6	M48.1	721	M48
C0002514	270|270.9	E72.9	270	E72
C0158713	754.31	Q65.1	754	Q65
C0029882	382.9	H66.9	382	H66
C0155764	447.9	I77.9	447	I77
C0233880	302.0	F66.1	302	F66
C0023886	006.3|006.4	A06.4	006	A06
C0267390	556.3	K51.3	556	K51
C0001344	462	J02|J02.9	462	J02
C0275742	033.1	A37.1	033	A37
C0160990	928.10	S87	928	S87
C1963536	747.6	Q27	747	Q27
C0039231	785.0	R00.0	785	R00
C0029813	686.8	L08.8	686	L08
C0041825	384.9	H73.9	384	H73
C0851252	072.5	O83.0	072	O83
C0152272	207.1	C94.1	207	C94
C0158621	746.81	Q24.4	746	Q24
C0022650	592.0	N20.0	592	N20
C0274688	969.6	T40.8	969	T40
C0496876	215|215.9	D21|D21.9	215	D21
C0153222	098.7	A54.6	098	A54
C0020651	458.0	I95.1	458	I95
C0161516	962.8	T38.2	962	T38
C0158935	770.0	P23|P23.9	770	P23
C0003165	500	J60	500	J60
C0035204	519.9|519.99|V12.60	J00-J99.9|J98.9	519|V12	J00-J99|J98
C0160987	928.00	S77.1	928	S77
C0158458	735.0	M20.1	735	M20
C2608043	704.09	L66.2	704	L66
C0025306	036.2	A39.4	036	A39
C0478140	799.29	R45.8	799	R45
C0035222	518.52	J80	518	J80
C0029768	289.8|289.89	D75.8	289	D75
C0011311	061	A90	061	A90
C0156199	574.0	K80.0	574	K80
C0340639	442.81	I72.0	442	I72
C0155186	374|374.8|374.89	H02	374	H02
C1510471	269.2	E56.9	269	E56
C0160970	927.0	S47	927	S47
C0276029	038.41	A41.3	038	A41
C0024286	099.1	A55	099	A55
C0042237	184.0	C52	184	C52
C0376480	523.8	K06.1	523	K06
C0024141	710.0	M32|M32.9	710	M32
C0155963	529.2	K14.2	529	K14
C0542519	753.0	Q60.2	753	Q60
C0154033	225.2	D32.0	225	D32
C0700174	V04.3	Z24.5	V04	Z24
C0013143	994.1	T75.1	994	T75
C0266122	749.02	Q35.7	749	Q35
C0038019	721.9	M47|M47.9	721	M47
C0157403	666.3|666.34	O72.3	666	O72
C0271680	357.2	G63.2	357	G63
C0012765	527.7	K11.7	527	K11
C0042133	218|218.9	D25|D25.9	218	D25
C0011876	366.41	H28.0	366	H28
C0343379	008.02	A04.1	008	A04
C0025517	277.9	E70-E90.9|E88.9	277	E70-E90|E88
C0023374	277.2	E79.1	277	E79
C0340008	860	S27.2	860	S27
C0158846	763.7	P03.6	763	P03
C0014053	062.5	A83.5	062	A83
C0038644	798.0	R95	798	R95
C0152091	732|732.9|733.90	M93.9	732|733	M93
C0262008	964	X92	964	X92
C0156699	643.2	O21.2	643	O21
C0496978	969.05	T43.0	969	T43
C0008370	576.2	K83.1	576	K83
C0036093	527|527.9	K11|K11.9	527	K11
C0034012	259.0	E30.0	259	E30
C0161721	988|988.9	T62.9	988	T62
C0264088	732.3	M92.0	732	M92
C0494261	279.2	D81|D81.9	279	D81
C0158950	771.8|771.89	P39	771	P39
C0161022	939|939.9	T19|T19.9	939	T19
C0030446	560.1	K56.0	560	K56
C0161329	948.1	T31.1	948	T31
C0701168	424.2	I36|I36.9	424	I36
C0264124	733.91	M89.1	733	M89
C0026948	202.1	C84.0	202	C84
C0153506	165.0	C39.0	165	C39
C0392042	997.62	T87.4	997	T87
C0036347	295.1	F20.1	295	F20
C0026603	994.6	T75.3	994	T75
C0949022	154.1	C20	154	C20
C0027046	429.1	I51.5	429	I51
C0233560	313.3	F93.3	313	F93
C0266573	743.61	Q10.0	743	Q10
C0153379	145.6	C06.2	145	C06
C0153136	090.5	A50.5	090	A50
C0337231	884.3	W05	884	W05
C0153600	187.3	C60.2	187	C60
C0153351	141.1	C02.0	141	C02
C0347138	232.1	D04.1	232	D04
C0496682	V62.0	Z56.0	V62	Z56
C0221358	754.0	Q67.2	754	Q67
C0154639	320.2	G00.2	320	G00
C0153296	123	B71	123	B71
C0399424	522.5	K04.7	522	K04
C0494164	197.4	C78.4	197	C78
C0348579	394.9	I05.8	394	I05
C0023176	961.2|984|984.9	T56.0	961|984	T56
C0004992	225.1	D33.3	225	D33
C0264914	426.53	I45.2	426	I45
C0155807	461.3	J01.3	461	J01
C0261595	879.7	Y84.7	879	Y84
C0005745	374.3|374.30	H02.4	374	H02
C0496934	237.6	D42.1	237	D42
C0481202	945.2	Y55.1	945	Y55
C3537063	674.2|674.24	O90.1	674	O90
C0153658	194.9	C75.9	194	C75
C0519030	482.0	B96.1|J15.0	482	B96|J15
C0343677	091.3	A51.3	091	A51
C0029604	633.8	O00.8	633	O00
C0153655	194.4	C75.3	194	C75
C0600298	523.5	K05.4	523	K05
C0034192	572.1	K75.1	572	K75
C0149532	935.1	T18.1	935	T18
C0154917	364.5	H21.2	364	H21
C0481138	935.6	Y45.4	935	Y45
C3887645	288.1	D82.4	288	D82
C0261314	838|838.9	V94	838	V94
C0155744	442.3	I72.4	442	I72
C0750887	194.0	C74|C74.9	194	C74
C0496893	223.9	D30|D30.9	223	D30
C0154703	344.4|344.40	G83.2	344	G83
C0153234	102.1	A66.1	102	A66
C0020450	643	O21	643	O21
C0009918	718.4|718.40	M24.5	718	M24
C0153376	145.3	C05.1	145	C05
C0155552	389.2|389.20	H90.8	389	H90
C0152094	279.13	D81.4	279	D81
C0027873	341.0	G36.0	341	G36
C0154164	246	E07	246	E07
C0024138	695.4	L93.0	695	L93
C0040822	781.0	R25.1	781	R25
C0024537	084.1	B51	084	B51
C0009400	066.1	A93.2	066	A93
C0158488	736.7|736.79	M21.6	736	M21
C1609433	753.0	Q60.1	753	Q60
C0221002	252.01	E21.0	252	E21
C0155528	388.0|388.00	H93.0	388	H93
C0005742	374.34	H02.3	374	H02
C0012242	579.99	K00-K93.9|K92.9	579	K00-K93|K92
C1313908	V62.4	Z60.3	V62	Z60
C0024624	162.3	C34.1	162	C34
C0495691	799.2	R45	799	R45
C0155226	375.1	H04.1	375	H04
C0041471	081.9	A75|A75.9	081	A75
C0003516	745.0	Q21.4	745	Q21
C1535939	136.3	B59	136	B59
C3495439	611.0	N61	611	N61
C0340797	747.60	Q27.9	747	Q27
C0520556	685.1	L05.9	685	L05
C0161542	965.02	T40.3	965	T40
C0242172	614.9|616.99	N70-N77.9|N73.9	614|616	N70-N77|N73
C0266015	751.9	Q45.9	751	Q45
C0033893	307.81|339.1|339.10	G44.2	307|339	G44
C0153966	213.7	D16.2	213	D16
C0684333	141.3	C02.2	141	C02
C0035466	695.3	L71.1	695	L71
C0276333	480.2	J12.2	480	J12
C0348626	427.8|427.89	I49.8	427	I49
C0266095	744.82	Q18.7	744	Q18
C0158635	747.5	Q27.0	747	Q27
C0261846	938.4	Y48.2	938	Y48
C0030636	027.2	A28.0	027	A28
C0007855	622.7	N84.1	622	N84
C0496899	225.0	D33.2	225	D33
C0154844	362.4|362.40	H35.7	362	H35
C0481188	942.2	Y52.6	942	Y52
C0026351	318.0	F71	318	F71
C0027498	787.0|787.01	R11	787	R11
C0004766	616.3	N75.1	616	N75
C0155796	456.6	I86.3	456	I86
C0155365	379.2	H43|H43.9	379	H43
C0270208	774.1	P58.0	774	P58
C0158738	755.14	Q70.2	755	Q70
C0477306	282.49	D56.8	282	D56
C0034063	514	J81	514	J81
C1306068	366.5|366.50	H26.4	366	H26
C0020453	782.0	R20.3	782	R20
C0413512	931.6	Y41.4	931	Y41
C0261235	831	V91|V91.9	831	V91
C0479196	906.1	W53	906	W53
C0160562	878.0	S31.2	878	S31
C0030196	729.5	M79.6	729	M79
C0157223	660.6	O66.4	660	O66
C0018802	428.0	I50.0	428	I50
C0495169	639.6	O08.2	639	O08
C0476241	783.42	R62.0	783	R62
C0495795	794.1	R94.1	794	R94
C0263506	704.8	L66.3	704	L66
C2607914	477|477.9	J30.4	477	J30
C0157450	669.1	O75.1	669	O75
C0029772	526.8|526.89	K10.8	526	K10
C0265011	441.4	I71.4	441	I71
C0265763	748.3	Q31.4	748	Q31
C0026686	527.6	K11.6	527	K11
C0023895	573.9	K70-K77.9|K76.9	573	K70-K77|K76
C0022738	756.16	Q76.1	756	Q76
C0740331	279.05	D80.5	279	D80
C0153687	198.2	C79.2	198	C79
C0151482	281.2	D52|D52.9	281	D52
C0018844	992.0	T67.0	992	T67
C3714542	200.1|202.8	C85.0	200|202	C85
C0265035	455.0	I84.2	455	I84
C0032463	238.4	D45	238	D45
C0686645	196.1	C77.1	196	C77
C0162482	665.2	N85.5	665	N85
C0269672	646.1	O26.0	646	O26
C0156327	614.0	N70.0	614	N70
C0274869	985	T56|T56.8	985	T56
C0033806	275.49	E20.1	275	E20
C0496634	V06.4	Z27.4	V06	Z27
C0156395	624.3	N90.6	624	N90
C0024117	496	J44.9	496	J44
C0260594	V28.2	Z36.2	V28	Z36
C0022951	271.3	E73|E73.9	271	E73
C0266298	753.3	Q63.0	753	Q63
C0152874	017.4	A18.6	017	A18
C0151514	701.9	L90|L90.9	701	L90
C0496932	236.90	D41|D41.9	236	D41
C0260771	V56.0	Z49.1	V56	Z49
C0495499	744.02	Q16.1	744	Q16
C0376175	351.0	G51.0	351	G51
C0037998	289.59	D73.5	289	D73
C0342712	270.3	E71.2	270	E71
C0154087	233.3	D07.3	233	D07
C0496947	237.3	D44.6	237	D44
C0178274	449.99	I70-I79.9	449	I70-I79
C0030372	066.0	A93.1	066	A93
C0159658	810	S42.0	810	S42
C3537062	V69.1	Z72.4	V69	Z72
C0158504	737.33	M96.5	737	M96
C0159076	791.4	R82.2	791	R82
C0155369	379.26	H43.0	379	H43
C0154069	231.0	D02.0	231	D02
C0270158	770.2	P25.3	770	P25
C0022602	702.0	L57.0	702	L57
C0496755	141.2	C02.1	141	C02
C0153664	195.4	C76.4	195	C76
C0019829	201|201.0|201.1|201.9	C81|C81.9	201	C81
C0156331	614.6	N73.6	614	N73
C1533618	958.1	T79.1	958	T79
C0023364	100|100.89|100.9	A27|A27.9	100	A27
C1720771	603|603.9	N43.3	603	N43
C3665346	369.9	H54.7	369	H54
C0006842	112.3	B37.2	112	B37
C0480620	965.4	X95	965	X95
C0157291	663.4	O69.3	663	O69
C0478148	338.29	R52.2	338	R52
C0018926	578.0	K92.0	578	K92
C0152227	375.2|375.20	H04.2	375	H04
C0079748	200.1	C83.5	200	C83
C0153239	102.7	A66.7	102	A66
C0154025	224.3	D31.0	224	D31
C0155676	417.1	I28.1	417	I28
C0017675	529.0	K14.0	529	K14
C0036285	034.1	A38	034	A38
C0261777	931.4	Y41.2	931	Y41
C0155250	375.6|375.69	H04.6	375	H04
C0260683	V44.1	Z93.1	V44	Z93
C0392549	343|343.9	G80|G80.9	343	G80
C0158303	726.11	M75.3	726	M75
C0014457	288.3	D72.1	288	D72
